data,date,hits,geo,time,keyword,gprop,category,gender,candidate_id,prior_vperc,prior_vperc_fct
2,2019-06-13T00:00:00Z,15,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-14T00:00:00Z,13,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-15T00:00:00Z,16,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-16T00:00:00Z,23,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-17T00:00:00Z,17,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-18T00:00:00Z,15,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-19T00:00:00Z,19,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-20T00:00:00Z,13,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-21T00:00:00Z,11,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-22T00:00:00Z,18,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
2,2019-06-23T00:00:00Z,27,US,today 1-m,Elizabeth Warren 2020,web,0,Women,1,> 1.0% of voters,> 1.0% of voters
